artist,track_or_project_title,release_type,confidence_score,extraction_method,source_article_title,source_article_url,source_name,article_date,embedded_music_links,release_article
Old Jim,bad guy,single,1.0,spotify_playlist_api,Old Jim - bad guy,https://open.spotify.com/track/0JTpeNKfBtJ5axdHirbj05,Spotify Playlist,2026-01-30,https://open.spotify.com/track/0JTpeNKfBtJ5axdHirbj05,True
Kungs,Galaxy,single,1.0,spotify_playlist_api,Kungs - Galaxy,https://open.spotify.com/track/2h5Nvt8nCnpaX4xrwmcMnV,Spotify Playlist,2026-01-09,https://open.spotify.com/track/2h5Nvt8nCnpaX4xrwmcMnV,True
YouNotUs,What You Hiding?,single,1.0,spotify_playlist_api,YouNotUs - What You Hiding?,https://open.spotify.com/track/3nD942ta7jpMXO0xyKWEav,Spotify Playlist,2026-01-16,https://open.spotify.com/track/3nD942ta7jpMXO0xyKWEav,True
Lavern,In My Head,single,1.0,spotify_playlist_api,Lavern - In My Head,https://open.spotify.com/track/3qHPMaazhsySnfGlWIB45Y,Spotify Playlist,2026-01-30,https://open.spotify.com/track/3qHPMaazhsySnfGlWIB45Y,True
Morry,Maghron La,single,1.0,spotify_playlist_api,Morry - Maghron La,https://open.spotify.com/track/2r3P9c161ZaFj0pvaAvXbB,Spotify Playlist,2026-01-30,https://open.spotify.com/track/2r3P9c161ZaFj0pvaAvXbB,True
ILLENIUM,Feel Alive,single,1.0,spotify_playlist_api,ILLENIUM - Feel Alive,https://open.spotify.com/track/0EYoVxpvCLOoPMYz0ZEexD,Spotify Playlist,2026-01-16,https://open.spotify.com/track/0EYoVxpvCLOoPMYz0ZEexD,True
MALUGI,Better Together,single,1.0,spotify_playlist_api,MALUGI - Better Together,https://open.spotify.com/track/2FMuB8xCnic6o0aYQiThLh,Spotify Playlist,2025-12-05,https://open.spotify.com/track/2FMuB8xCnic6o0aYQiThLh,True
Timbaland,The Way I Are - Max Dean Remix - Extended,single,1.0,spotify_playlist_api,Timbaland - The Way I Are - Max Dean Remix - Extended,https://open.spotify.com/track/4fWGfF4E3zNsrb6JgRB57z,Spotify Playlist,2025-12-19,https://open.spotify.com/track/4fWGfF4E3zNsrb6JgRB57z,True
Jazzy,Can't Deny It,single,1.0,spotify_playlist_api,Jazzy - Can't Deny It,https://open.spotify.com/track/21tV1aVocgAot1YekbvJRZ,Spotify Playlist,2025-12-05,https://open.spotify.com/track/21tV1aVocgAot1YekbvJRZ,True
Maroox,I Would Like,single,1.0,spotify_playlist_api,Maroox - I Would Like,https://open.spotify.com/track/2gJhDsSI2p89sW9Vx5WMxv,Spotify Playlist,2025-10-31,https://open.spotify.com/track/2gJhDsSI2p89sW9Vx5WMxv,True
Billen Ted,Double Tap It,single,1.0,spotify_playlist_api,Billen Ted - Double Tap It,https://open.spotify.com/track/5bkZWaYwOLPXU9N20g3SKO,Spotify Playlist,2025-11-28,https://open.spotify.com/track/5bkZWaYwOLPXU9N20g3SKO,True
Confidence Man,17,EP,1.0,spotify_playlist_api,Confidence Man - 17,https://open.spotify.com/track/1TMHvSK3CiHjpcVsCTrd6a,Spotify Playlist,2025-12-05,https://open.spotify.com/track/1TMHvSK3CiHjpcVsCTrd6a,True
Kolter,GTFU (Simon Says),single,1.0,spotify_playlist_api,Kolter - GTFU (Simon Says),https://open.spotify.com/track/2YC2IEpk6jKcIgif6HgF2Z,Spotify Playlist,2025-11-28,https://open.spotify.com/track/2YC2IEpk6jKcIgif6HgF2Z,True
TOMORA,RING THE ALARM,single,1.0,spotify_playlist_api,TOMORA - RING THE ALARM,https://open.spotify.com/track/4ewxZwUwLeMZEMWF1CRLeG,Spotify Playlist,2025-12-04,https://open.spotify.com/track/4ewxZwUwLeMZEMWF1CRLeG,True
LIZOT,I Think We're Alone Now,single,1.0,spotify_playlist_api,LIZOT - I Think We're Alone Now,https://open.spotify.com/track/3jlUHgRrRJkqWrKKjQZSwS,Spotify Playlist,2025-12-05,https://open.spotify.com/track/3jlUHgRrRJkqWrKKjQZSwS,True
Fritz Kalkbrenner,Calling You,single,1.0,spotify_playlist_api,Fritz Kalkbrenner - Calling You,https://open.spotify.com/track/6lLiAf6RaQULGhWSlIsivQ,Spotify Playlist,2025-12-12,https://open.spotify.com/track/6lLiAf6RaQULGhWSlIsivQ,True
Tomas Grey,Rumors,single,1.0,spotify_playlist_api,Tomas Grey - Rumors,https://open.spotify.com/track/4AHW7Q2TGKwfndbbQvjXmF,Spotify Playlist,2025-12-31,https://open.spotify.com/track/4AHW7Q2TGKwfndbbQvjXmF,True
The Avener,All Of The Time,single,1.0,spotify_playlist_api,The Avener - All Of The Time,https://open.spotify.com/track/4oiwfWqwbcAqGuHHkHbU7r,Spotify Playlist,2025-12-11,https://open.spotify.com/track/4oiwfWqwbcAqGuHHkHbU7r,True
Alle Farben,Baby Goodbye,single,1.0,spotify_playlist_api,Alle Farben - Baby Goodbye,https://open.spotify.com/track/2XyLvow6caHBnDjqUDfn62,Spotify Playlist,2025-11-14,https://open.spotify.com/track/2XyLvow6caHBnDjqUDfn62,True
Loud Luxury,LOVE YOU FOR LIFE.,single,1.0,spotify_playlist_api,Loud Luxury - LOVE YOU FOR LIFE.,https://open.spotify.com/track/3acMyDFxlQ2O5l3c9pJeQ4,Spotify Playlist,2025-11-21,https://open.spotify.com/track/3acMyDFxlQ2O5l3c9pJeQ4,True
Yearboox,Graceland,single,1.0,spotify_playlist_api,Yearboox - Graceland,https://open.spotify.com/track/0UrAgB7p2pNB7lzdWEWw8V,Spotify Playlist,2025-11-28,https://open.spotify.com/track/0UrAgB7p2pNB7lzdWEWw8V,True
Gigi D'Agostino,"SIAMO ANGELI - GIGI DAG,Prezioso & Luca Noise Angeli Mix",single,1.0,spotify_playlist_api,"Gigi D'Agostino - SIAMO ANGELI - GIGI DAG,Prezioso & Luca Noise Angeli Mix",https://open.spotify.com/track/6aVbaiLOXtgx6mfKBUI1M6,Spotify Playlist,2025-11-28,https://open.spotify.com/track/6aVbaiLOXtgx6mfKBUI1M6,True
LIZOT,Don't Stop Believin',single,1.0,spotify_playlist_api,LIZOT - Don't Stop Believin',https://open.spotify.com/track/0ZQLzZuoMcFDMgzFngXBCM,Spotify Playlist,2025-12-12,https://open.spotify.com/track/0ZQLzZuoMcFDMgzFngXBCM,True
