artist_name,soundcloud_url,soundcloud_user_id,genres,edm_match_terms,followers_count,track_count,country,city
i am yd,https://soundcloud.com/y-d-nelson?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,1223228830,"Hip-hop & Rap | Pop | Dancehall | Electronic | R&B & Soul | desperate ""lonely "" love",dance | electronic,269,12,United States,las vegas
The Japanese House,https://soundcloud.com/the-japanese-house?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,122290315,Alternative,house,31432,64,,
bad snacks,https://soundcloud.com/bad-snacks?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,326726802,Electronic | Electronica | Dance,dance | electronic | electronica,10609,106,,Los Angeles
ghost.,https://soundcloud.com/ghostsofficial?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,5538965,"Dance & EDM | Trap ""Sable Valley"" ""Don Toliver"" ""Secondhand Remix"" ghost.remix ""RL G"" secondhand octane ""Don Toliver Octane"" ""Don Toliver Secondhand | Drum & Bass | Melodic Drum and Bass | drum and bass"" ghost. noticeme porterrobinson | Trap | ghost. redflag colorblind ""neon owl"" ""neon owl records | ghost. ""i see colors"" colors ""drum and bass"" dnb ""future dnb"" ""future drum and bass"" ""porter robinson | Drum and Bass | sub focus"" ""porter robinson | Jungle | deedotjones ""feels like rain"" ""dee dot jones"" ghost.",bass | dance | dnb | drum and bass | edm | trap,785,26,,
Eliminate*,https://soundcloud.com/eliminatemusic?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,2852244,"House | usher ""lil john"" ludacris | Dance | Dubstep | Drum & Bass | Electro House | Electronic | Trap",bass | dance | dubstep | electronic | house | trap,105005,69,,internet
Stephen Puth,https://soundcloud.com/stephenputh?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,33259447,Dance | EDM | Pop,dance | edm,1465,12,United States,New Jersey
Arcando,https://soundcloud.com/arcando-official?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,44040834,"Drum & Bass | arcando ""Drum & Bass"" ""wide awake"" dnb ""Dance & EDM | Arcando Live 2025 ""drum & bass | arcando ""Drum & Bass"" liquicity liveset dnb | DnB arcando ""julian jordan"" ""stmpd rcrds"" ""drum and bass"" ""hard techno"" 2025 | arcando patreon dub | Dnb ""Martin Garrix"" mesto ""ultra miami"" limitless remix ""drum and bass"" 2025 | arcando ""drum and bass"" dnb patreon download | Arcando ascend cinema remix vip drz vluarr dnb ""drum and bass"" mix | Arcando tantron ""so high"" dnb ""drum and bass"" dj mix ""best drum & bass | Vluarr Arcando Ascend ""Felix Samuel"" DnB ""Drum and Bass"" ""STMPD RCRDS"" ""Martin Garrix"" ""San Francisco"" Live",bass | club | dance | dnb | drum and bass | edm | techno,49053,80,Netherlands,
if found,https://soundcloud.com/iffoundmusic?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,6907854,"Trap | Dubstep Electronic | Electronic | Electronic Trap | trap remix"" ""edm trap",dubstep | edm | electronic | trap,7250,91,,"Los Angeles, CA"
Eyezic,https://soundcloud.com/eyezic-music?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,251544187,"Dance & EDM | electronic dance music edm pop dat | electronic dance music edm eyezic babsy | Electronic dance music edm ""Dance & EDM | ELECTRONIC DANCE MUSIC EDM | electronic dance music edm | Electronic dance music edm",club | dance | edm | electronic,12116,79,,Washington D.C.
Beachcrimes,https://soundcloud.com/beachcrimes?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,1206304948,Dance,dance,2198,26,,
SKEPSIS,https://soundcloud.com/skepsisproducer?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,24344092,"Dance | Drum & Bass | Electronic | skepsis bassline ukbass 2017 | dnb drumnbass drumandbass skepsis ""charlotte plank | Drum and bass",bass | dance | dnb | drum and bass | electronic,53194,51,Britain (UK),
Mr Lloyd,https://soundcloud.com/mr-lloyd-music?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,1138833274,"Dance & EDM | House grime garage Electronic ""tech house | House Electronic uk | House ""bass house"" garage grime Electronic | Electronic House | Techno House remix | uk garage"" House ""Deep House | House | uk garage"" ""speed garage"" garage ""Dance & EDM"" Electronic | Deep House | Dance & EDM"" House ""chill house"" Electronic",bass | bass house | dance | deep house | edm | electronic | garage | house | tech house | techno,46,58,United States,SF
knockthisoff,https://soundcloud.com/knockthisoff?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,143454421,Knock2 | nolimit | Giveon - Favorite Mistake Knock2 Remix | ISOKNOCK | ISOxo Knock2 ISOKNOCK SANDIEGO Brownies&Lemonade Proximity | 99 | house99,house,22453,12,,
INJI,https://soundcloud.com/injimusic?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,1104748336,Electronic | Dance-Pop,dance | electronic,5339,39,,
Asdek,https://soundcloud.com/asdek?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,1934389,"jersey club | jersey rosalia club baltimore remix diablo house | House | bass house"" bass orchestral | Electronic",bass | bass house | club | electronic | house,27543,39,,Paris
heyyyitsmenu,https://soundcloud.com/heyyyitsmenu?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,1318398093,"House | dj House ""melodic house"" ""deep house"" ""live dj set"" ""Dance & EDM | ultra ultramiami ultra2026 festival heyyyitsmenu House EDM femaleDJ | housemusic house dj djset fullset live heyyyitsmenu | House housemusic ""Dance & EDM"" edit remix festival",dance | deep house | edm | house | melodic house,23625,35,,
